photo.code,str.code,lado,site,origin,spp,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN0638,171,3,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,294.381,11,0,0,0,0,5 fragmentos en el fondo,Monica
DSCN0639,171,4,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,342.195,10,0,0,0,0,,Monica
DSCN0640,171,5,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,337.762,8,0,0,0,0,,Monica
DSCN0641,171,6,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,316.116,9,0,0,0,0,,Monica
DSCN0642,171,7,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,407.647,16,0,0,0,0,,Monica
DSCN0643,172,1,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,313.8,9,0,0,0,0,,Monica
DSCN0644,172,2,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,313.482,10,0,0,0,0,,Monica
DSCN0645,172,3,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,242.439,10,0,0,0,0,,Monica
DSCN0646,172,4,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,292.581,10,1,0,0,0,,Monica
DSCN0647,172,5,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,302.82,10,0,0,0,0,,Monica
DSCN0648,172,6,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,407.096,11,0,0,0,0,,Monica
DSCN0649,172,7,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,771.417,20,0,0,0,0,,Monica
DSCN0629,175,1,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,37.6,2,0,0,0,0,,Monica
DSCN0630,175,2,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,23.81,1,0,0,0,0,,Monica
DSCN0631,175,3,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,780.79,6,0,0,0,0,,Monica
DSCN0632,175,4,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,168.894,7,0,0,0,0,,Monica
DSCN0633,175,5,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,164.976,10,0,0,0,0,,Monica
DSCN0634,175,6,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,300.745,12,0,0,0,0,,Monica
DSCN0635,175,7,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,248.402,8,0,0,0,0,,Monica
DSCN1272,169,1,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,458.664,11,0,0,0,0,,Monica
DSCN1273,169,2,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,325.114,9,2,0,0,0,,Monica
DSCN1274,169,3,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,373.181,11,0,0,0,0,,Monica
DSCN1276,169,4,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,316.526,12,0,0,0,0,,Monica
DSCN1277,169,5,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,250.171,10,0,0,0,0,,Monica
DSCN1278,169,6,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,424.276,11,0,1,0,0,,Monica
DSCN1281,169,7,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,683.984,19,0,1,0,0,,Monica
DSCN1262,170,1,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,NA,NA,NA,NA,NA,NA,,Monica
DSCN1263,170,2,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,258.031,8,0,0,0,0,,Monica
DSCN1264,170,3,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,279.506,7,0,0,0,0,,Monica
DSCN1265,170,4,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,313.182,8,0,0,0,0,,Monica
DSCN1267,170,5,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,352.05,8,0,0,0,0,,Monica
DSCN1268,170,6,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,343.635,7,0,0,0,0,,Monica
DSCN1270,170,7,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,532.536,10,0,0,0,0,,Monica
DSCN1284,171,1,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,265.735,10,0,0,0,0,,Monica
DSCN1286,171,2,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,301.461,10,0,0,0,0,,Monica
DSCN1287,171,3,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,326.549,10,0,0,0,0,,Monica
DSCN1289,171,4,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,258.164,8,0,0,0,0,,Monica
DSCN1290,171,5,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,377.48,9,0,0,0,0,,Monica
DSCN1291,171,6,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,330.3,10,0,0,0,0,,Monica
DSCN1292,171,7,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,669.704,13,0,0,0,0,,Monica
DSCN1295,172,1,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,342.527,9,0,1,0,0,,Monica
DSCN1296,172,2,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,430.883,10,0,0,0,0,,Monica
DSCN1297,172,3,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,313.632,11,0,2,0,0,,Monica
DSCN1298,172,4,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,309.679,10,1,1,0,0,,Monica
DSCN1299,172,5,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,NA,NA,NA,NA,NA,NA,No hay foto,Monica
DSCN1300,172,6,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,383.916,11,0,0,0,0,,Monica
DSCN1301,172,7,Guiri,,Pocillopora spp,arana,,22/5/2021,5,2021,21-May,964.443,19,0,0,0,0,,Monica
