photo.code,str.code,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN4544,59,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,360.089,16,0,14,1,0,"Grandes fragmentos, gran mortalidad parcial",Amanda
DSCN4546,155,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,358.003,22,0,16,1,0,Un fragmento con palidecimiento,Amanda
DSCN4548,146,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,448.008,27,0,18,0,0,"Grandes fragmentos, gran mortalidad parcial",Amanda
DSCN4550,99,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,485.527,21,0,13,3,2,Fragmentos blanqueados concentrados en una parte,Amanda
DSCN4552,62,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,476.522,24,0,0,0,0,,Priscilla
DSCN4555,64,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,592.927,31,0,1,1,0,,Priscilla
DSCN4559,143,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,348.46,24,0,0,2,0,,Jorge
DSCN4560,80,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,NA,NA,NA,NA,NA,NA,Etiqueta,Paula
DSCN4561,80,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,465.098,22,0,5,4,3,Un coral detras de la etiqueta,Paula
DSCN4563,144,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,439.391,17,0,0,1,0,,Jorge
DSCN4567,140,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,478.643,22,0,0,0,0,,Jorge
DSCN4568,81,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,NA,NA,NA,NA,NA,NA,,Paula
DSCN4569,81,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,677.574,23,0,3,1,0,,Paula
DSCN4571,154,Playa Blanca,NA,arana pequena,NA,NA,5,2023,24-may,803.528,17,0,0,0,0,"En la esquina derecha de la estructura, parece que el coral que estaba en la misma posiciÃ³n en abril se cayÃ³. Es difÃ­cil identificar si estÃ¡ muerto o perdido.",Emma
DSCN4573,121,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,449.794,21,0,0,0,0,,Saul
DSCN4573,121,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,449.794,21,0,0,0,0,,SaÃºl
DSCN4575,149,Playa Blanca,NA,arana pequena,NA,NA,5,2023,24-may,772.706,21,0,0,2,0,Corales saludables y en crecimiento.,Emma
DSCN4577,138,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,671.418,16,0,0,1,0,,Saul
DSCN4577,138,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,671.418,16,0,0,1,0,,SaÃºl
DSCN4579,127,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,533.255,18,0,0,3,0,,Saul
DSCN4579,127,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,533.255,18,0,0,3,0,,SaÃºl
DSCN4580,108,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,NA,NA,NA,NA,NA,NA,Etiqueta,Paula
DSCN4581,108,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,945.155,22,0,3,1,0,,Paula
DSCN4583,148,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,741.984,17,0,0,2,0,,Jorge
DSCN4585,151,Playa Blanca,NA,arana pequena,NA,NA,5,2023,24-may,922.262,20,1,0,3,0,Corales saludables y en crecimiento.,Emma
DSCN4591,58,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,418.313,12,0,2,3,0,,Priscilla
DSCN4593,60,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,548.101,19,0,0,2,0,,Priscilla
DSCN4595,139,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,521.728,13,0,0,1,0,,Jorge
DSCN4597,66,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,561.398,27,0,0,1,1,,Priscilla
DSCN4599,379,Playa Blanca,NA,arana pequena,NA,NA,5,2023,24-may,286.63,18,1,0,4,0,Corales saludables y en crecimiento.,Emma
DSCN4601,394,Playa Blanca,NA,arana pequena,NA,NA,5,2023,24-may,679.525,24,0,3,0,0,,Priscilla
DSCN4603,375,Playa Blanca,NA,arana pequena,NA,NA,5,2023,24-may,239.242,18,0,1,0,0,Corales saludables y en crecimiento.,Emma
DSCN4609,378,Playa Blanca,NA,arana pequena,NA,NA,5,2023,24-may,569.024,24,0,0,0,0,Podemos ver en la foto que algunos corales (4 fragmentos) han caÃ­do en el lecho marino. La cuerda no permanece en la estructura y podrÃ­a haber caÃ­do con los corales si no fue retirada.,Emma
DSCN4611,385,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,299.35,22,0,7,2,4,,Mack
DSCN4613,396,Playa Blanca,NA,arana pequena,NA,NA,5,2023,24-may,358.013,13,0,0,0,0,,Priscilla
DSCN4615,130,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,405.857,22,0,0,0,0,,Saul
DSCN4615,130,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,405.857,22,0,0,0,0,,SaÃºl
DSCN4617,150,Playa Blanca,NA,arana pequena,NA,NA,5,2023,24-may,654.521,15,0,0,2,0,Corales saludables y en crecimiento.,Emma
DSCN4618,86,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,NA,NA,NA,NA,NA,NA,Etiqueta,Paula
DSCN4619,86,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,330.598,21,0,3,1,0,"Dudas con algas, la foto esta un poco oscura",Paula
DSCN4621,133,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,485.74,23,0,0,2,0,,Saul
DSCN4621,133,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,485.74,23,0,0,2,0,,SaÃºl
DSCN4623,390,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,222.445,22,1,13,1,0,fragmento parcialmente tapado por etiqueta,Eliana
DSCN4635,384,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,339.251,28,2,21,1,8,,Mack
DSCN4637,381,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,244.042,17,0,2,0,3,,Mack
DSCN4639,387,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,320.915,17,0,4,2,0,,Eliana
DSCN4645,386,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,327.276,22,1,4,1,0,,Eliana
DSCN4648,383,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,144.298,15,1,8,1,4,,Mack
DSCN4651,380,Playa Blanca,NA,arana pequena,NA,NA,5,2023,24-may,192.161,22,0,0,0,0,Corales saludables y en crecimiento.,Emma
DSCN4653,382,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,171.351,17,0,8,2,3,,Mack
DCSN5370,384,Playa Blanca,NA,arana pequena,NA,NA,6,2023,23-jun,376.93,28,1,12,0,7,,Mack
DSCN4601,394,Playa Blanca,NA,arana pequena,NA,NA,6,2023,24-jun,564.789,23,0,2,1,2,,Priscilla
